Timestamp(ms),Current(uA),D0-D7
1197.61,252.426,00000000
1197.62,254.189,00000000
1197.63,255.512,00000000
1197.64,255.512,00000000
1197.65,253.748,00000000
1197.66,252.867,00000000
1197.67,257.276,00000000
1197.68,255.953,00000000
1197.69,256.394,00000000
1197.7,255.071,00000000
1197.71,253.308,00000000
1197.72,255.071,00000000
1197.73,255.071,00000000
1197.74,254.189,00000000
1197.75,255.071,00000000
1197.76,257.276,00000000
1197.77,258.600,00000000
1197.78,257.717,00000000
1197.79,257.717,00000000
1197.8,259.041,00000000
1197.81,260.365,00000000
1197.82,262.131,00000000
1197.83,260.806,00000000
1197.84,260.365,00000000
1197.85,261.689,00000000
1197.86,259.924,00000000
1197.87,258.159,00000000
1197.88,256.394,00000000
1197.89,258.159,00000000
1197.9,259.924,00000000
1197.91,259.482,00000000
1197.92,259.041,00000000
1197.93,259.482,00000000
1197.94,259.041,00000000
1197.95,259.924,00000000
1197.96,258.159,00000000
1197.97,255.953,00000000
1197.98,254.630,00000000
1197.99,259.041,00000000
1198,259.482,00000000
1198.01,259.482,00000000
1198.02,262.572,00000000
1198.03,262.131,00000000
1198.04,260.365,00000000
1198.05,259.041,00000000
1198.06,255.953,00000000
1198.07,255.071,00000000
1198.08,254.189,00000000
1198.09,253.308,00000000
1198.1,257.276,00000000
1198.11,259.041,00000000
1198.12,261.689,00000000
1198.13,262.572,00000000
1198.14,260.806,00000000
1198.15,261.248,00000000
1198.16,257.276,00000000
1198.17,256.394,00000000
1198.18,255.071,00000000
1198.19,255.071,00000000
1198.2,255.071,00000000
1198.21,257.276,00000000
1198.22,257.276,00000000
1198.23,254.630,00000000
1198.24,256.835,00000000
1198.25,257.717,00000000
1198.26,255.953,00000000
1198.27,255.512,00000000
1198.28,256.835,00000000
1198.29,255.953,00000000
1198.3,257.276,00000000
1198.31,259.041,00000000
1198.32,257.717,00000000
1198.33,259.041,00000000
1198.34,255.953,00000000
1198.35,255.953,00000000
1198.36,256.394,00000000
1198.37,254.189,00000000
1198.38,252.867,00000000
1198.39,251.104,00000000
1198.4,252.426,00000000
1198.41,253.308,00000000
1198.42,253.748,00000000
1198.43,252.867,00000000
1198.44,251.545,00000000
1198.45,250.663,00000000
1198.46,248.460,00000000
1198.47,250.663,00000000
1198.48,252.867,00000000
1198.49,253.308,00000000
1198.5,253.748,00000000
1198.51,254.189,00000000
1198.52,256.835,00000000
1198.53,255.071,00000000
1198.54,256.394,00000000
1198.55,253.748,00000000
1198.56,252.867,00000000
1198.57,252.867,00000000
1198.58,254.189,00000000
1198.59,254.630,00000000
1198.6,255.512,00000000
1198.61,255.512,00000000
1198.62,254.189,00000000
1198.63,256.394,00000000
1198.64,256.835,00000000
1198.65,256.394,00000000
1198.66,254.189,00000000
1198.67,253.308,00000000
1198.68,252.426,00000000
1198.69,251.545,00000000
1198.7,251.985,00000000
1198.71,251.104,00000000
1198.72,253.308,00000000
1198.73,255.512,00000000
1198.74,255.512,00000000
1198.75,255.512,00000000
1198.76,254.189,00000000
1198.77,252.426,00000000
1198.78,253.308,00000000
1198.79,251.104,00000000
1198.8,301.998,00000000
1198.81,369.488,00000000
1198.82,370.387,00000000
1198.83,366.792,00000000
1198.84,362.750,00000000
1198.85,360.505,00000000
1198.86,354.226,00000000
1198.87,347.952,00000000
1198.88,344.370,00000000
1198.89,339.896,00000000
1198.9,335.425,00000000
1198.91,333.191,00000000
1198.92,329.618,00000000
1198.93,327.386,00000000
1198.94,324.262,00000000
1198.95,323.370,00000000
1198.96,320.694,00000000
1198.97,320.694,00000000
1198.98,317.574,00000000
1198.99,314.456,00000000
1199,313.565,00000000
1199.01,312.229,00000000
1199.02,314.010,00000000
1199.03,314.456,00000000
1199.04,309.559,00000000
1199.05,310.004,00000000
1199.06,309.113,00000000
1199.07,308.224,00000000
1199.08,308.669,00000000
1199.09,309.559,00000000
1199.1,309.559,00000000
1199.11,307.779,00000000
1199.12,308.669,00000000
1199.13,308.224,00000000
1199.14,306.889,00000000
1199.15,304.665,00000000
1199.16,302.887,00000000
1199.17,302.442,00000000
1199.18,300.220,00000000
1199.19,303.331,00000000
1199.2,304.665,00000000
1199.21,304.221,00000000
1199.22,302.887,00000000
1199.23,301.998,00000000
1199.24,300.220,00000000
1199.25,297.999,00000000
1199.26,297.999,00000000
1199.27,294.003,00000000
1199.28,295.335,00000000
1199.29,295.779,00000000
1199.3,295.335,00000000
1199.31,293.115,00000000
1199.32,292.228,00000000
1199.33,292.228,00000000
1199.34,290.897,00000000
1199.35,290.453,00000000
1199.36,290.897,00000000
1199.37,290.897,00000000
1199.38,290.897,00000000
1199.39,290.010,00000000
1199.4,288.679,00000000
1199.41,286.906,00000000
1199.42,285.576,00000000
1199.43,286.462,00000000
1199.44,287.349,00000000
1199.45,288.236,00000000
1199.46,290.453,00000000
1199.47,289.123,00000000
1199.48,286.906,00000000
1199.49,290.010,00000000
1199.5,288.236,00000000
1199.51,287.349,00000000
1199.52,286.906,00000000
1199.53,289.123,00000000
1199.54,286.019,00000000
1199.55,287.349,00000000
1199.56,284.689,00000000
1199.57,285.132,00000000
1199.58,283.360,00000000
1199.59,284.689,00000000
1199.6,284.689,00000000
1199.61,283.803,00000000
1199.62,283.803,00000000
1199.63,283.803,00000000
1199.64,281.588,00000000
1199.65,278.931,00000000
1199.66,276.718,00000000
1199.67,275.390,00000000
1199.68,274.063,00000000
1199.69,273.178,00000000
1199.7,276.275,00000000
1199.71,274.063,00000000
1199.72,275.390,00000000
1199.73,274.063,00000000
