Timestamp(ms),Current(uA),D0-D7
3678.67,16.048,00000000
3678.68,16.048,00000000
3678.69,16.048,00000000
3678.7,16.092,00000000
3678.71,16.005,00000000
3678.72,16.048,00000000
3678.73,16.092,00000000
3678.74,16.005,00000000
3678.75,15.830,00000000
3678.76,15.830,00000000
3678.77,15.873,00000000
3678.78,15.830,00000000
3678.79,15.917,00000000
3678.8,15.830,00000000
3678.81,15.699,00000000
3678.82,15.786,00000000
3678.83,15.786,00000000
3678.84,15.917,00000000
3678.85,15.917,00000000
3678.86,15.873,00000000
3678.87,15.830,00000000
3678.88,15.917,00000000
3678.89,15.917,00000000
3678.9,15.873,00000000
3678.91,15.742,00000000
3678.92,15.786,00000000
3678.93,15.786,00000000
3678.94,15.611,00000000
3678.95,15.655,00000000
3678.96,15.699,00000000
3678.97,15.699,00000000
3678.98,15.567,00000000
3678.99,15.524,00000000
3679,15.655,00000000
3679.01,15.567,00000000
3679.02,15.436,00000000
3679.03,15.349,00000000
3679.04,15.349,00000000
3679.05,15.130,00000000
3679.06,15.130,00000000
3679.07,15.174,00000000
3679.08,15.042,00000000
3679.09,14.911,00000000
3679.1,15.086,00000000
3679.11,15.042,00000000
3679.12,14.867,00000000
3679.13,14.911,00000000
3679.14,14.911,00000000
3679.15,14.999,00000000
3679.16,15.086,00000000
3679.17,15.042,00000000
3679.18,15.130,00000000
3679.19,15.130,00000000
3679.2,15.130,00000000
3679.21,15.086,00000000
3679.22,15.086,00000000
3679.23,15.174,00000000
3679.24,15.174,00000000
3679.25,15.217,00000000
3679.26,14.955,00000000
3679.27,14.955,00000000
3679.28,14.911,00000000
3679.29,14.736,00000000
3679.3,14.911,00000000
3679.31,14.955,00000000
3679.32,14.736,00000000
3679.33,14.867,00000000
3679.34,14.867,00000000
3679.35,14.824,00000000
3679.36,14.780,00000000
3679.37,14.736,00000000
3679.38,14.736,00000000
3679.39,14.867,00000000
3679.4,14.605,00000000
3679.41,14.649,00000000
3679.42,19.067,00000000
3679.43,22.785,00000000
3679.44,23.091,00000000
3679.45,23.004,00000000
3679.46,22.917,00000000
3679.47,23.004,00000000
3679.48,23.048,00000000
3679.49,22.917,00000000
3679.5,22.829,00000000
3679.51,22.698,00000000
3679.52,22.917,00000000
3679.53,22.610,00000000
3679.54,22.523,00000000
3679.55,22.479,00000000
3679.56,22.392,00000000
3679.57,22.392,00000000
3679.58,22.129,00000000
3679.59,22.260,00000000
3679.6,22.304,00000000
3679.61,22.173,00000000
3679.62,22.042,00000000
3679.63,22.085,00000000
3679.64,22.348,00000000
3679.65,22.523,00000000
3679.66,22.567,00000000
3679.67,22.567,00000000
3679.68,22.523,00000000
3679.69,22.567,00000000
3679.7,22.654,00000000
3679.71,22.435,00000000
3679.72,22.435,00000000
3679.73,22.435,00000000
3679.74,22.348,00000000
3679.75,22.348,00000000
3679.76,22.260,00000000
3679.77,22.173,00000000
3679.78,22.085,00000000
3679.79,22.129,00000000
3679.8,21.954,00000000
3679.81,21.867,00000000
3679.82,21.910,00000000
3679.83,22.042,00000000
3679.84,21.867,00000000
3679.85,21.998,00000000
3679.86,21.823,00000000
3679.87,21.779,00000000
3679.88,21.735,00000000
3679.89,21.735,00000000
3679.9,21.648,00000000
3679.91,21.779,00000000
3679.92,21.560,00000000
3679.93,21.779,00000000
3679.94,21.560,00000000
3679.95,21.560,00000000
3679.96,21.560,00000000
3679.97,21.560,00000000
3679.98,21.560,00000000
3679.99,21.604,00000000
3680,21.517,00000000
3680.01,21.604,00000000
3680.02,21.560,00000000
3680.03,21.167,00000000
3680.04,21.342,00000000
3680.05,21.298,00000000
3680.06,21.254,00000000
3680.07,21.123,00000000
3680.08,21.079,00000000
3680.09,21.123,00000000
3680.1,21.079,00000000
3680.11,21.079,00000000
3680.12,21.035,00000000
3680.13,20.948,00000000
3680.14,20.948,00000000
3680.15,20.904,00000000
3680.16,20.992,00000000
3680.17,20.992,00000000
3680.18,20.992,00000000
3680.19,20.860,00000000
3680.2,21.035,00000000
3680.21,21.079,00000000
3680.22,21.167,00000000
3680.23,20.948,00000000
3680.24,21.123,00000000
3680.25,21.079,00000000
3680.26,21.079,00000000
3680.27,21.123,00000000
3680.28,21.079,00000000
3680.29,20.992,00000000
3680.3,20.948,00000000
3680.31,20.860,00000000
3680.32,20.817,00000000
3680.33,20.773,00000000
3680.34,20.817,00000000
3680.35,20.642,00000000
3680.36,20.642,00000000
3680.37,20.729,00000000
3680.38,20.642,00000000
3680.39,20.598,00000000
3680.4,20.642,00000000
3680.41,20.554,00000000
3680.42,20.336,00000000
3680.43,20.467,00000000
3680.44,20.336,00000000
3680.45,20.511,00000000
3680.46,20.336,00000000
3680.47,20.379,00000000
3680.48,20.511,00000000
3680.49,20.379,00000000
3680.5,20.467,00000000
3680.51,20.554,00000000
3680.52,20.292,00000000
3680.53,20.336,00000000
3680.54,20.379,00000000
3680.55,20.292,00000000
3680.56,20.554,00000000
3680.57,20.336,00000000
3680.58,20.248,00000000
3680.59,20.248,00000000
3680.6,19.986,00000000
3680.61,20.161,00000000
3680.62,20.117,00000000
3680.63,20.029,00000000
3680.64,20.029,00000000
3680.65,20.073,00000000
3680.66,19.854,00000000
3680.67,19.986,00000000
3680.68,19.898,00000000
3680.69,20.029,00000000
3680.7,20.029,00000000
3680.71,19.898,00000000
3680.72,19.942,00000000
3680.73,19.854,00000000
3680.74,19.854,00000000
3680.75,19.767,00000000
3680.76,19.898,00000000
3680.77,19.767,00000000
3680.78,19.636,00000000
3680.79,19.504,00000000
3680.8,19.461,00000000
3680.81,19.417,00000000
3680.82,19.417,00000000
3680.83,19.242,00000000
3680.84,19.461,00000000
3680.85,19.461,00000000
3680.86,19.504,00000000
3680.87,19.329,00000000
3680.88,19.504,00000000
3680.89,19.504,00000000
3680.9,19.417,00000000
3680.91,19.461,00000000
3680.92,19.329,00000000
3680.93,19.329,00000000
3680.94,19.329,00000000
3680.95,19.111,00000000
3680.96,19.111,00000000
3680.97,19.111,00000000
3680.98,19.111,00000000
3680.99,19.154,00000000
3681,19.111,00000000
3681.01,19.023,00000000
3681.02,18.804,00000000
3681.03,18.892,00000000
3681.04,18.717,00000000
3681.05,18.542,00000000
3681.06,18.761,00000000
3681.07,18.804,00000000
3681.08,18.804,00000000
3681.09,18.761,00000000
3681.1,18.761,00000000
3681.11,18.717,00000000
3681.12,18.936,00000000
3681.13,18.936,00000000
3681.14,18.979,00000000
3681.15,18.892,00000000
3681.16,18.804,00000000
3681.17,18.848,00000000
3681.18,18.848,00000000
3681.19,18.717,00000000
3681.2,18.673,00000000
3681.21,18.586,00000000
3681.22,18.367,00000000
3681.23,18.542,00000000
3681.24,18.454,00000000
3681.25,18.367,00000000
3681.26,18.367,00000000
3681.27,18.454,00000000
3681.28,18.454,00000000
3681.29,18.454,00000000
3681.3,18.542,00000000
3681.31,18.586,00000000
3681.32,18.498,00000000
3681.33,18.542,00000000
3681.34,18.542,00000000
3681.35,18.629,00000000
3681.36,18.498,00000000
3681.37,18.367,00000000
3681.38,18.323,00000000
3681.39,18.279,00000000
3681.4,18.061,00000000
3681.41,18.192,00000000
3681.42,18.192,00000000
3681.43,18.192,00000000
3681.44,18.105,00000000
3681.45,18.105,00000000
3681.46,18.192,00000000
3681.47,18.148,00000000
3681.48,18.192,00000000
3681.49,17.886,00000000
3681.5,17.755,00000000
3681.51,17.755,00000000
3681.52,17.930,00000000
3681.53,17.755,00000000
3681.54,17.798,00000000
3681.55,17.755,00000000
3681.56,17.755,00000000
3681.57,17.492,00000000
3681.58,17.711,00000000
3681.59,17.755,00000000
3681.6,17.798,00000000
3681.61,17.580,00000000
3681.62,17.667,00000000
3681.63,17.711,00000000
3681.64,17.711,00000000
3681.65,17.536,00000000
3681.66,17.536,00000000
3681.67,17.448,00000000
3681.68,17.405,00000000
3681.69,17.448,00000000
3681.7,17.492,00000000
3681.71,17.273,00000000
3681.72,17.580,00000000
3681.73,17.405,00000000
3681.74,17.317,00000000
3681.75,17.361,00000000
3681.76,17.317,00000000
3681.77,17.273,00000000
3681.78,17.317,00000000
3681.79,17.273,00000000
3681.8,17.317,00000000
3681.81,17.273,00000000
3681.82,17.186,00000000
3681.83,17.448,00000000
3681.84,17.448,00000000
3681.85,17.317,00000000
3681.86,17.186,00000000
3681.87,17.098,00000000
3681.88,17.273,00000000
3681.89,16.923,00000000
3681.9,17.055,00000000
3681.91,16.967,00000000
3681.92,17.011,00000000
3681.93,16.923,00000000
3681.94,16.836,00000000
3681.95,16.923,00000000
3681.96,16.967,00000000
3681.97,16.880,00000000
3681.98,16.923,00000000
3681.99,16.836,00000000
3682,16.836,00000000
3682.01,16.923,00000000
3682.02,16.923,00000000
3682.03,16.880,00000000
3682.04,16.967,00000000
3682.05,17.011,00000000
3682.06,16.967,00000000
3682.07,16.748,00000000
3682.08,16.792,00000000
3682.09,16.748,00000000
3682.1,16.880,00000000
3682.11,16.836,00000000
3682.12,16.880,00000000
3682.13,16.792,00000000
3682.14,16.705,00000000
3682.15,16.661,00000000
3682.16,16.617,00000000
3682.17,16.442,00000000
3682.18,16.486,00000000
3682.19,16.617,00000000
3682.2,16.661,00000000
3682.21,16.617,00000000
3682.22,16.530,00000000
3682.23,16.617,00000000
3682.24,16.311,00000000
3682.25,16.355,00000000
3682.26,16.267,00000000
3682.27,16.311,00000000
3682.28,16.530,00000000
3682.29,16.486,00000000
3682.3,16.442,00000000
3682.31,16.530,00000000
3682.32,16.486,00000000
3682.33,16.355,00000000
3682.34,16.442,00000000
3682.35,16.311,00000000
3682.36,16.136,00000000
3682.37,16.180,00000000
3682.38,16.136,00000000
3682.39,16.048,00000000
3682.4,16.136,00000000
3682.41,16.092,00000000
